epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,646.769,0.5382,0.39138,1.01083,0.94789,0.90957,0.95809,0.79191,0.57379,0.37716,1.05431,0.0016403,0.0016403,0.0016403
111,652.643,0.57846,0.40666,1.03342,0.9374,0.91515,0.96083,0.795,0.56882,0.38336,1.05228,0.001637,0.001637,0.001637
112,658.53,0.55283,0.38716,1.03326,0.92645,0.90973,0.95003,0.80489,0.57432,0.37159,1.03081,0.0016337,0.0016337,0.0016337
113,664.455,0.51193,0.38492,0.99238,0.9259,0.90239,0.95457,0.78548,0.58487,0.39486,1.02708,0.0016304,0.0016304,0.0016304
114,670.382,0.55764,0.38811,1.00948,0.91602,0.90894,0.9566,0.78158,0.57849,0.36249,1.02566,0.0016271,0.0016271,0.0016271
115,676.214,0.49402,0.36919,0.99122,0.9563,0.88889,0.96557,0.81215,0.54145,0.36909,0.99852,0.0016238,0.0016238,0.0016238
116,682.088,0.53774,0.38217,1.02487,0.95637,0.90556,0.96486,0.81425,0.52182,0.34804,0.9811,0.0016205,0.0016205,0.0016205
117,687.936,0.53137,0.37789,1.00546,0.96308,0.9,0.96517,0.81464,0.51287,0.36416,0.97668,0.0016172,0.0016172,0.0016172
118,693.759,0.53261,0.38484,1.00375,0.95904,0.91056,0.96049,0.82258,0.50664,0.3449,0.9903,0.0016139,0.0016139,0.0016139
119,699.591,0.55491,0.41121,1.01214,0.94833,0.9176,0.96559,0.81827,0.53162,0.34444,1.03048,0.0016106,0.0016106,0.0016106
120,705.409,0.56616,0.42011,1.01952,0.92378,0.91111,0.95116,0.79489,0.56678,0.40698,1.05346,0.0016073,0.0016073,0.0016073
121,711.248,0.62863,0.46013,1.04444,0.93334,0.91667,0.95791,0.79285,0.56844,0.39894,1.0493,0.001604,0.001604,0.001604
122,717.126,0.55361,0.38757,1.01097,0.91768,0.92894,0.96656,0.80478,0.57717,0.37673,1.0347,0.0016007,0.0016007,0.0016007
123,723.06,0.56376,0.40651,1.04884,0.93218,0.94444,0.96871,0.82271,0.54713,0.35525,1.01151,0.0015974,0.0015974,0.0015974
124,728.923,0.57064,0.41386,1.03901,0.97616,0.90995,0.96537,0.80888,0.55044,0.37327,1.00498,0.0015941,0.0015941,0.0015941
125,734.781,0.53565,0.3825,1.01652,0.95831,0.91667,0.95844,0.81322,0.55132,0.37079,1.01918,0.0015908,0.0015908,0.0015908
126,740.601,0.50027,0.3725,1.01194,0.96799,0.9,0.95677,0.80616,0.56398,0.35992,1.02824,0.0015875,0.0015875,0.0015875
127,746.462,0.53858,0.39976,1.01599,0.93796,0.92388,0.95553,0.80178,0.56476,0.41546,1.01732,0.0015842,0.0015842,0.0015842
128,752.336,0.50891,0.36085,0.99358,0.91979,0.95558,0.96972,0.82136,0.54596,0.33302,1.0248,0.0015809,0.0015809,0.0015809
129,758.176,0.50025,0.35589,1.00145,0.93344,0.93889,0.96729,0.80184,0.54672,0.36409,1.0178,0.0015776,0.0015776,0.0015776
130,764.042,0.53506,0.3688,1.02592,0.91723,0.92351,0.94455,0.78909,0.5519,0.35593,1.03943,0.0015743,0.0015743,0.0015743
131,769.831,0.51849,0.36968,1.02494,0.96381,0.88763,0.94156,0.79424,0.58025,0.38966,1.04453,0.001571,0.001571,0.001571
132,775.713,0.55191,0.38384,0.99912,0.94356,0.9,0.94912,0.80498,0.56241,0.36549,1.0316,0.0015677,0.0015677,0.0015677
133,781.531,0.53405,0.37944,1.01022,0.95203,0.9,0.94526,0.797,0.56286,0.37701,1.02801,0.0015644,0.0015644,0.0015644
134,787.399,0.52237,0.37241,0.99105,0.93098,0.89917,0.94425,0.79054,0.5555,0.40734,1.02855,0.0015611,0.0015611,0.0015611
135,793.266,0.58004,0.4253,1.03404,0.92978,0.91111,0.93687,0.80072,0.53692,0.39213,1.01307,0.0015578,0.0015578,0.0015578
136,799.136,0.52386,0.36527,1.00091,0.88822,0.91667,0.93641,0.79038,0.54214,0.37052,1.06099,0.0015545,0.0015545,0.0015545
137,804.948,0.53508,0.39031,1.01654,0.95905,0.91069,0.94985,0.80115,0.552,0.3843,1.04847,0.0015512,0.0015512,0.0015512
138,810.806,0.55847,0.3771,1.02581,0.95342,0.90971,0.9578,0.80394,0.56069,0.33713,1.0409,0.0015479,0.0015479,0.0015479
139,816.636,0.51722,0.38075,1.0126,0.96425,0.89911,0.9659,0.81518,0.54845,0.32223,1.0267,0.0015446,0.0015446,0.0015446
140,822.517,0.56155,0.39974,1.02621,0.94749,0.9022,0.94167,0.7931,0.5678,0.36163,1.0405,0.0015413,0.0015413,0.0015413
141,828.348,0.50061,0.35203,1.01377,0.96658,0.88333,0.95092,0.7926,0.55473,0.35939,1.02365,0.001538,0.001538,0.001538
142,834.155,0.54871,0.40866,1.0115,0.95403,0.92778,0.96974,0.81058,0.55396,0.33179,1.01753,0.0015347,0.0015347,0.0015347
143,840.02,0.50313,0.36421,1.01291,0.95733,0.92222,0.96713,0.81823,0.55039,0.32473,0.99769,0.0015314,0.0015314,0.0015314
144,845.899,0.48742,0.36271,0.98942,0.95176,0.87778,0.96588,0.80901,0.52691,0.33569,0.99384,0.0015281,0.0015281,0.0015281
145,851.729,0.5135,0.36473,0.99635,0.98812,0.87222,0.97423,0.82542,0.52186,0.31133,0.99022,0.0015248,0.0015248,0.0015248
146,857.519,0.49604,0.35331,1.00401,0.97544,0.88256,0.96334,0.81661,0.55041,0.34739,1.04166,0.0015215,0.0015215,0.0015215
147,863.319,0.53499,0.37751,1.0034,0.97896,0.90556,0.967,0.80873,0.56077,0.35421,1.03721,0.0015182,0.0015182,0.0015182
148,869.158,0.52576,0.38987,0.98477,0.97527,0.8765,0.96148,0.81077,0.53937,0.34636,1.02,0.0015149,0.0015149,0.0015149
149,874.933,0.5343,0.37648,1.0316,0.97275,0.91667,0.96341,0.81339,0.52407,0.37853,0.9911,0.0015116,0.0015116,0.0015116
